no,elapsed_ms,waktu,sample_id,batch_id,label,mq135_ratio,mq3_ratio,mq4_ratio,tgs_ratio,suhu,lembap
60,29696,23.37.33,1,NASI-1,LAYAK,1.0314,1.0256,1.0509,1.0744,31.3,100.0
61,30310,23.37.33,1,NASI-1,LAYAK,1.0216,1.006,1.0376,1.0544,31.3,100.0
62,30721,23.37.34,1,NASI-1,LAYAK,0.9354,1.0279,1.0481,1.0768,31.3,100.0
63,31129,23.37.34,1,NASI-1,LAYAK,1.024,1.0132,1.0287,1.0623,31.3,100.0
64,31744,23.37.35,1,NASI-1,LAYAK,1.0669,1.0595,1.0751,1.1263,31.3,100.0
65,32153,23.37.35,1,NASI-1,LAYAK,1.0103,1.0039,1.0198,1.0504,31.3,100.0
66,32768,23.37.36,1,NASI-1,LAYAK,0.9798,0.9827,0.9971,1.0303,31.3,100.0
67,33177,23.37.36,1,NASI-1,LAYAK,1.0024,0.9939,1.0198,1.0457,31.3,100.0
68,33792,23.37.37,1,NASI-1,LAYAK,1.029,1.0125,1.0453,1.0825,31.3,100.0
69,34201,23.37.37,1,NASI-1,LAYAK,1.0782,1.0541,1.0993,1.1526,31.3,100.0
70,34816,23.37.38,1,NASI-1,LAYAK,1.0574,1.0323,1.0795,1.1202,31.4,100.0
71,35225,23.37.38,1,NASI-1,LAYAK,1.0651,1.0443,1.0963,1.1349,31.4,100.0
72,35635,23.37.39,1,NASI-1,LAYAK,1.0591,1.0345,1.078,1.1211,31.4,100.0
73,36250,23.37.39,1,NASI-1,LAYAK,1.0532,1.0264,1.0751,1.1134,31.4,100.0
74,36659,23.37.40,1,NASI-1,LAYAK,1.0422,1.0242,1.073,1.1108,31.4,100.0
75,37273,23.37.40,1,NASI-1,LAYAK,1.0422,1.0176,1.0694,1.0982,31.3,100.0
76,37683,23.37.41,1,NASI-1,LAYAK,1.0389,1.0118,1.0615,1.0882,31.3,100.0
77,38297,23.37.41,1,NASI-1,LAYAK,1.0364,1.0118,1.0594,1.085,31.3,100.0
78,38707,23.37.42,1,NASI-1,LAYAK,1.0372,1.0176,1.0708,1.099,31.3,100.0
79,39322,23.37.42,1,NASI-1,LAYAK,1.029,0.9848,1.0509,1.0776,31.3,100.0
80,39732,23.37.43,1,NASI-1,LAYAK,1.024,1.001,1.0523,1.0825,31.4,100.0
81,40141,23.37.43,1,NASI-1,LAYAK,1.0079,0.9904,1.0349,1.0615,31.4,100.0
82,40755,23.37.44,1,NASI-1,LAYAK,1.0135,0.9968,1.0425,1.0663,31.4,100.0
83,41165,23.37.44,1,NASI-1,LAYAK,1.0306,1.0096,1.0558,1.0768,31.4,100.0
84,41780,23.37.45,1,NASI-1,LAYAK,1.0176,0.9946,1.0446,1.0671,31.4,100.0
85,42189,23.37.45,1,NASI-1,LAYAK,1.0135,0.9975,1.0453,1.0647,31.3,100.0
86,42803,23.37.46,1,NASI-1,LAYAK,1.0306,1.0068,1.0502,1.0655,31.3,100.0
87,43213,23.37.46,1,NASI-1,LAYAK,1.0447,1.0286,1.0615,1.0841,31.3,100.0
88,43623,23.37.46,1,NASI-1,LAYAK,1.029,1.0104,1.0502,1.0679,31.3,100.0
89,44237,23.37.47,1,NASI-1,LAYAK,1.0281,1.014,1.0495,1.0623,31.3,100.0
90,44647,23.37.48,1,NASI-1,LAYAK,1.0176,1.0039,1.037,1.0615,31.4,100.0
91,45261,23.37.48,1,NASI-1,LAYAK,1.024,1.0082,1.0432,1.0623,31.4,100.0
92,45671,23.37.49,1,NASI-1,LAYAK,1.0232,1.0046,1.0411,1.0623,31.4,100.0
93,46285,23.37.49,1,NASI-1,LAYAK,1.0414,1.0205,1.0587,1.076,31.4,100.0
94,46695,23.37.50,1,NASI-1,LAYAK,1.0557,1.0301,1.0715,1.0974,31.4,100.0
95,47309,23.37.50,1,NASI-1,LAYAK,1.0422,1.0249,1.0565,1.0792,31.4,100.0
96,47721,23.37.51,1,NASI-1,LAYAK,1.054,1.0316,1.0715,1.0899,31.4,100.0
